vCrop,climate,CAPRI_NUTSII,nuts2,RCP,CO2_level,representative.median
Barley,isimip_clim,AT110000,AT11,RCP2.6,amb,1.83888561799843
Barley,isimip_clim,AT110000,AT11,RCP6.0,amb,1.67797148716807
Barley,isimip_clim,AT110000,AT11,RCP6.0,elev,22.2211372198966
Barley,isimip_clim,AT110000,AT11,RCP4.5,amb,0.389531977851966
Barley,isimip_clim,AT110000,AT11,RCP8.5,elev,32.0972592353879
Barley,isimip_clim,AT110000,AT11,RCP4.5,elev,20.2854134956274
Barley,isimip_clim,AT110000,AT11,RCP8.5,amb,0.82287146910618
Barley,isimip_clim,AT110000,AT11,RCP2.6,elev,15.8292023219166
Barley,isimip_clim,AT120000,AT12,RCP2.6,amb,4.61547233479884
Barley,isimip_clim,AT120000,AT12,RCP6.0,amb,3.76032388020121
Barley,isimip_clim,AT120000,AT12,RCP8.5,amb,2.37897120080156
Barley,isimip_clim,AT120000,AT12,RCP4.5,elev,23.9588713971098
Barley,isimip_clim,AT120000,AT12,RCP8.5,elev,35.4653340647243
Barley,isimip_clim,AT120000,AT12,RCP4.5,amb,0.673552081339858
Barley,isimip_clim,AT120000,AT12,RCP2.6,elev,20.2833092784205
Barley,isimip_clim,AT120000,AT12,RCP6.0,elev,25.9184760239604
Barley,isimip_clim,AT210000,AT21,RCP6.0,elev,29.2659402532683
Barley,isimip_clim,AT210000,AT21,RCP2.6,amb,5.46489323116737
Barley,isimip_clim,AT210000,AT21,RCP8.5,elev,33.1268500728123
Barley,isimip_clim,AT210000,AT21,RCP2.6,elev,23.2403948427499
Barley,isimip_clim,AT210000,AT21,RCP4.5,elev,25.8894443576907
Barley,isimip_clim,AT210000,AT21,RCP4.5,amb,-0.338985131472919
Barley,isimip_clim,AT210000,AT21,RCP8.5,amb,-1.87944620301482
Barley,isimip_clim,AT210000,AT21,RCP6.0,amb,4.2180006596145
Barley,isimip_clim,AT220000,AT22,RCP2.6,elev,2.93377558500531
Barley,isimip_clim,AT220000,AT22,RCP2.6,amb,-10.8941785956384
Barley,isimip_clim,AT220000,AT22,RCP6.0,amb,-8.26296371559695
Barley,isimip_clim,AT220000,AT22,RCP4.5,amb,-15.3397659662548
Barley,isimip_clim,AT220000,AT22,RCP8.5,amb,-16.7440487162563
Barley,isimip_clim,AT220000,AT22,RCP4.5,elev,3.55052891477706
Barley,isimip_clim,AT220000,AT22,RCP8.5,elev,12.5780467522307
Barley,isimip_clim,AT220000,AT22,RCP6.0,elev,11.7435401159493
Barley,isimip_clim,AT310000,AT31,RCP6.0,amb,4.14003818181094
Barley,isimip_clim,AT310000,AT31,RCP2.6,elev,20.0545761949167
Barley,isimip_clim,AT310000,AT31,RCP2.6,amb,5.52349549861187
Barley,isimip_clim,AT310000,AT31,RCP8.5,elev,33.7732799504914
Barley,isimip_clim,AT310000,AT31,RCP4.5,amb,5.38289308178354
Barley,isimip_clim,AT310000,AT31,RCP8.5,amb,4.69078171465506
Barley,isimip_clim,AT310000,AT31,RCP4.5,elev,25.8603224016767
Barley,isimip_clim,AT310000,AT31,RCP6.0,elev,25.6708569448895
Barley,isimip_clim,AT320000,AT32,RCP4.5,elev,41.1243691723328
Barley,isimip_clim,AT320000,AT32,RCP6.0,elev,40.4261105267536
Barley,isimip_clim,AT320000,AT32,RCP4.5,amb,9.30020882270339
Barley,isimip_clim,AT320000,AT32,RCP8.5,elev,55.228828934333
Barley,isimip_clim,AT320000,AT32,RCP8.5,amb,7.26229823056845
Barley,isimip_clim,AT320000,AT32,RCP6.0,amb,9.87109410444854
Barley,isimip_clim,AT320000,AT32,RCP2.6,elev,40.1429094350265
Barley,isimip_clim,AT320000,AT32,RCP2.6,amb,18.3781498916783
Barley,isimip_clim,AT330000,AT33,RCP2.6,amb,5.89164464203355
Barley,isimip_clim,AT330000,AT33,RCP8.5,elev,29.2961615926863
Barley,isimip_clim,AT330000,AT33,RCP4.5,elev,21.6842232978325
Barley,isimip_clim,AT330000,AT33,RCP2.6,elev,19.0139758503794
Barley,isimip_clim,AT330000,AT33,RCP6.0,elev,24.2490445746625
Barley,isimip_clim,AT330000,AT33,RCP6.0,amb,4.03736020092889
Barley,isimip_clim,AT330000,AT33,RCP8.5,amb,1.60399527934507
Barley,isimip_clim,AT330000,AT33,RCP4.5,amb,1.9573873580787
Barley,isimip_clim,AT340000,AT34,RCP4.5,elev,20.3936482065241
Barley,isimip_clim,AT340000,AT34,RCP4.5,amb,1.31587710537261
Barley,isimip_clim,AT340000,AT34,RCP2.6,amb,4.79980737668949
Barley,isimip_clim,AT340000,AT34,RCP8.5,amb,0.81898479030394
Barley,isimip_clim,AT340000,AT34,RCP8.5,elev,27.4179986883052
Barley,isimip_clim,AT340000,AT34,RCP2.6,elev,16.531818486653
Barley,isimip_clim,AT340000,AT34,RCP6.0,amb,3.15632357161463
Barley,isimip_clim,AT340000,AT34,RCP6.0,elev,21.8937113299835
Barley,isimip_clim,BG010000,BG11,RCP6.0,elev,27.0346926620335
Barley,isimip_clim,BG010000,BG11,RCP4.5,elev,24.0533100073323
Barley,isimip_clim,BG010000,BG11,RCP2.6,amb,2.04492651137915
Barley,isimip_clim,BG010000,BG11,RCP2.6,elev,15.7634540547163
Barley,isimip_clim,BG010000,BG11,RCP8.5,elev,30.8971010564515
Barley,isimip_clim,BG010000,BG11,RCP4.5,amb,1.54559946892166
Barley,isimip_clim,BG010000,BG11,RCP6.0,amb,5.08280765906648
Barley,isimip_clim,BG010000,BG11,RCP8.5,amb,-0.501134828551989
Barley,isimip_clim,BG020000,BG12,RCP8.5,elev,36.5492121544665
Barley,isimip_clim,BG020000,BG12,RCP2.6,elev,22.2257320080815
Barley,isimip_clim,BG020000,BG12,RCP4.5,elev,26.9069092163347
Barley,isimip_clim,BG020000,BG12,RCP8.5,amb,-1.09248507730059
Barley,isimip_clim,BG020000,BG12,RCP2.6,amb,4.83921945819221
Barley,isimip_clim,BG020000,BG12,RCP6.0,elev,28.8648463666102
Barley,isimip_clim,BG020000,BG12,RCP6.0,amb,2.05544858251707
Barley,isimip_clim,BG020000,BG12,RCP4.5,amb,-0.492064455074999
Barley,isimip_clim,BG030000,BG13,RCP4.5,elev,23.8468663927076
Barley,isimip_clim,BG030000,BG13,RCP8.5,elev,30.0302228836384
Barley,isimip_clim,BG030000,BG13,RCP2.6,amb,3.74524813689263
Barley,isimip_clim,BG030000,BG13,RCP6.0,elev,32.4940944590581
Barley,isimip_clim,BG030000,BG13,RCP4.5,amb,-4.00294045670024
Barley,isimip_clim,BG030000,BG13,RCP2.6,elev,23.0133386704925
Barley,isimip_clim,BG030000,BG13,RCP6.0,amb,3.42785647669855
Barley,isimip_clim,BG030000,BG13,RCP8.5,amb,-12.4123947780378
Barley,isimip_clim,BG040000,BG21,RCP4.5,elev,17.3975826048933
Barley,isimip_clim,BG040000,BG21,RCP2.6,amb,-1.23567503593927
Barley,isimip_clim,BG040000,BG21,RCP8.5,elev,23.8642838875977
Barley,isimip_clim,BG040000,BG21,RCP2.6,elev,10.820068628419
Barley,isimip_clim,BG040000,BG21,RCP8.5,amb,-4.4557534614537
Barley,isimip_clim,BG040000,BG21,RCP4.5,amb,-2.12257390927619
Barley,isimip_clim,BG040000,BG21,RCP6.0,elev,21.1268700269206
Barley,isimip_clim,BG040000,BG21,RCP6.0,amb,1.69793468508906
Barley,isimip_clim,BG050000,BG22,RCP2.6,elev,17.7194997215265
Barley,isimip_clim,BG050000,BG22,RCP8.5,elev,28.9191140130031
Barley,isimip_clim,BG050000,BG22,RCP6.0,elev,25.1980207967636
Barley,isimip_clim,BG050000,BG22,RCP2.6,amb,2.60814151976983
Barley,isimip_clim,BG050000,BG22,RCP6.0,amb,1.51955490317571
Barley,isimip_clim,BG050000,BG22,RCP4.5,amb,0.0883746997072985
Barley,isimip_clim,BG050000,BG22,RCP4.5,elev,23.1947277118167
Barley,isimip_clim,BG050000,BG22,RCP8.5,amb,-4.88728372106257
Barley,isimip_clim,BG060000,BG23,RCP2.6,amb,7.29573019966656
Barley,isimip_clim,BG060000,BG23,RCP6.0,amb,7.17642590031297
Barley,isimip_clim,BG060000,BG23,RCP2.6,elev,24.9766432893491
Barley,isimip_clim,BG060000,BG23,RCP4.5,elev,29.4124234196541
Barley,isimip_clim,BG060000,BG23,RCP4.5,amb,2.90218832981361
Barley,isimip_clim,BG060000,BG23,RCP6.0,elev,34.4166372838695
Barley,isimip_clim,BG060000,BG23,RCP8.5,amb,-5.46397566721453
Barley,isimip_clim,BG060000,BG23,RCP8.5,elev,33.6223197022007
Barley,isimip_clim,BL100000,BE10,RCP6.0,elev,17.544409593219
Barley,isimip_clim,BL100000,BE10,RCP4.5,amb,-0.20013963202929
Barley,isimip_clim,BL100000,BE10,RCP6.0,amb,-0.460065619216616
Barley,isimip_clim,BL100000,BE10,RCP2.6,amb,0.427342263140213
Barley,isimip_clim,BL100000,BE10,RCP4.5,elev,17.6235813404843
Barley,isimip_clim,BL100000,BE10,RCP8.5,elev,24.7308607461011
Barley,isimip_clim,BL100000,BE10,RCP2.6,elev,12.4111576380722
Barley,isimip_clim,BL100000,BE10,RCP8.5,amb,-1.76208245241815
Barley,isimip_clim,BL210000,BE21,RCP6.0,elev,18.1680793344704
Barley,isimip_clim,BL210000,BE21,RCP4.5,elev,23.1449628167623
Barley,isimip_clim,BL210000,BE21,RCP4.5,amb,0.107389563886393
Barley,isimip_clim,BL210000,BE21,RCP8.5,amb,-0.774908338264638
Barley,isimip_clim,BL210000,BE21,RCP2.6,elev,16.199637102748
Barley,isimip_clim,BL210000,BE21,RCP8.5,elev,31.0011161548713
Barley,isimip_clim,BL210000,BE21,RCP6.0,amb,-2.79174105131351
Barley,isimip_clim,BL210000,BE21,RCP2.6,amb,2.2047933613003
Barley,isimip_clim,BL220000,BE22,RCP8.5,amb,1.28848416391562
Barley,isimip_clim,BL220000,BE22,RCP6.0,elev,18.059703025449
Barley,isimip_clim,BL220000,BE22,RCP2.6,amb,1.98634147427248
Barley,isimip_clim,BL220000,BE22,RCP4.5,amb,1.41980869474905
Barley,isimip_clim,BL220000,BE22,RCP2.6,elev,16.2534848154899
Barley,isimip_clim,BL220000,BE22,RCP8.5,elev,31.6929931715294
Barley,isimip_clim,BL220000,BE22,RCP4.5,elev,23.0453339446445
Barley,isimip_clim,BL220000,BE22,RCP6.0,amb,-4.13762691494829
Barley,isimip_clim,BL230000,BE23,RCP2.6,elev,12.4153862674372
Barley,isimip_clim,BL230000,BE23,RCP4.5,elev,17.525604404678
Barley,isimip_clim,BL230000,BE23,RCP2.6,amb,0.243803530512112
Barley,isimip_clim,BL230000,BE23,RCP4.5,amb,-0.522178688517548
Barley,isimip_clim,BL230000,BE23,RCP8.5,elev,24.6325169010335
Barley,isimip_clim,BL230000,BE23,RCP6.0,amb,-1.55208367296383
Barley,isimip_clim,BL230000,BE23,RCP6.0,elev,16.3457462183688
Barley,isimip_clim,BL230000,BE23,RCP8.5,amb,-2.53933759667745
Barley,isimip_clim,BL240000,BE24,RCP6.0,elev,18.6712934752811
Barley,isimip_clim,BL240000,BE24,RCP4.5,elev,19.6153063473323
Barley,isimip_clim,BL240000,BE24,RCP8.5,elev,28.0698682549529
Barley,isimip_clim,BL240000,BE24,RCP2.6,amb,2.02126030248306
Barley,isimip_clim,BL240000,BE24,RCP2.6,elev,14.2831973225464
Barley,isimip_clim,BL240000,BE24,RCP4.5,amb,1.0452445095307
Barley,isimip_clim,BL240000,BE24,RCP6.0,amb,0.956294125729502
Barley,isimip_clim,BL240000,BE24,RCP8.5,amb,0.0659441625458797
Barley,isimip_clim,BL250000,BE25,RCP2.6,amb,-1.55317544502834
Barley,isimip_clim,BL250000,BE25,RCP2.6,elev,11.6631182695189
Barley,isimip_clim,BL250000,BE25,RCP4.5,elev,17.5011569094619
Barley,isimip_clim,BL250000,BE25,RCP4.5,amb,-0.18536182709774
Barley,isimip_clim,BL250000,BE25,RCP6.0,elev,17.7344541088464
Barley,isimip_clim,BL250000,BE25,RCP8.5,amb,-2.71160565355755
Barley,isimip_clim,BL250000,BE25,RCP8.5,elev,22.9163434490994
Barley,isimip_clim,BL250000,BE25,RCP6.0,amb,-1.29074057572891
Barley,isimip_clim,BL310000,BE31,RCP2.6,amb,1.48849648842265
Barley,isimip_clim,BL310000,BE31,RCP6.0,elev,17.4858179452481
Barley,isimip_clim,BL310000,BE31,RCP8.5,amb,-1.0902724365379
Barley,isimip_clim,BL310000,BE31,RCP4.5,elev,18.4581134711744
Barley,isimip_clim,BL310000,BE31,RCP4.5,amb,0.660705293975994
Barley,isimip_clim,BL310000,BE31,RCP6.0,amb,0.0159921622042898
Barley,isimip_clim,BL310000,BE31,RCP8.5,elev,25.6660740742896
Barley,isimip_clim,BL310000,BE31,RCP2.6,elev,13.2296927199984
Barley,isimip_clim,BL320000,BE32,RCP2.6,amb,0.902104169202668
Barley,isimip_clim,BL320000,BE32,RCP2.6,elev,13.205725357105
Barley,isimip_clim,BL320000,BE32,RCP8.5,elev,25.2563903423005
Barley,isimip_clim,BL320000,BE32,RCP4.5,elev,19.2957356142502
Barley,isimip_clim,BL320000,BE32,RCP4.5,amb,0.676529514584824
Barley,isimip_clim,BL320000,BE32,RCP8.5,amb,-1.34552443723077
Barley,isimip_clim,BL320000,BE32,RCP6.0,amb,-0.258055615552891
Barley,isimip_clim,BL320000,BE32,RCP6.0,elev,17.4526110140241
Barley,isimip_clim,BL330000,BE33,RCP8.5,elev,32.882564773407
Barley,isimip_clim,BL330000,BE33,RCP6.0,amb,0.185767139496183
Barley,isimip_clim,BL330000,BE33,RCP6.0,elev,20.7596012642375
Barley,isimip_clim,BL330000,BE33,RCP4.5,elev,23.7205306629889
Barley,isimip_clim,BL330000,BE33,RCP2.6,elev,17.6637612508572
Barley,isimip_clim,BL330000,BE33,RCP4.5,amb,2.21400786579498
Barley,isimip_clim,BL330000,BE33,RCP2.6,amb,3.43920427550461
Barley,isimip_clim,BL330000,BE33,RCP8.5,amb,1.25883581201709
Barley,isimip_clim,BL340000,BE34,RCP4.5,elev,23.5367178860007
Barley,isimip_clim,BL340000,BE34,RCP2.6,amb,4.10528511277603
Barley,isimip_clim,BL340000,BE34,RCP6.0,elev,21.597789176385
Barley,isimip_clim,BL340000,BE34,RCP8.5,amb,0.737998551484482
Barley,isimip_clim,BL340000,BE34,RCP2.6,elev,18.3028444305558
